,country,longitude,latitude
10993,Libya,18.1236723,26.8234472
10994,Libya,18.1236723,26.8234472
10995,Libya,18.1236723,26.8234472
10996,Libya,18.1236723,26.8234472
10997,Libya,18.1236723,26.8234472
10998,Libya,18.1236723,26.8234472
10999,Libya,18.1236723,26.8234472
11000,Libya,18.1236723,26.8234472
11001,Libya,18.1236723,26.8234472
11002,Libya,18.1236723,26.8234472
11003,Libya,18.1236723,26.8234472
11004,Libya,18.1236723,26.8234472
11005,Libya,18.1236723,26.8234472
11006,Libya,18.1236723,26.8234472
11007,Libya,18.1236723,26.8234472
11008,Libya,18.1236723,26.8234472
11009,Libya,18.1236723,26.8234472
11010,Libya,18.1236723,26.8234472
11011,Libya,18.1236723,26.8234472
11012,Liechtenstein,9.5531527,47.1416307
11013,Liechtenstein,9.5531527,47.1416307
11014,Liechtenstein,9.5531527,47.1416307
11015,Liechtenstein,9.5531527,47.1416307
11016,Liechtenstein,9.5531527,47.1416307
11017,Liechtenstein,9.5531527,47.1416307
11018,Liechtenstein,9.5531527,47.1416307
11019,Liechtenstein,9.5531527,47.1416307
11020,Liechtenstein,9.5531527,47.1416307
11021,Liechtenstein,9.5531527,47.1416307
11022,Liechtenstein,9.5531527,47.1416307
11023,Liechtenstein,9.5531527,47.1416307
11024,Liechtenstein,9.5531527,47.1416307
11025,Liechtenstein,9.5531527,47.1416307
11026,Liechtenstein,9.5531527,47.1416307
11027,Liechtenstein,9.5531527,47.1416307
11028,Liechtenstein,9.5531527,47.1416307
11029,Liechtenstein,9.5531527,47.1416307
11030,Liechtenstein,9.5531527,47.1416307
11031,Liechtenstein,9.5531527,47.1416307
11032,Liechtenstein,9.5531527,47.1416307
11033,Liechtenstein,9.5531527,47.1416307
11034,Liechtenstein,9.5531527,47.1416307
11035,Liechtenstein,9.5531527,47.1416307
11036,Liechtenstein,9.5531527,47.1416307
11037,Liechtenstein,9.5531527,47.1416307
11038,Liechtenstein,9.5531527,47.1416307
11039,Liechtenstein,9.5531527,47.1416307
11040,Liechtenstein,9.5531527,47.1416307
11041,Liechtenstein,9.5531527,47.1416307
11042,Liechtenstein,9.5531527,47.1416307
11043,Liechtenstein,9.5531527,47.1416307
11044,Liechtenstein,9.5531527,47.1416307
11045,Liechtenstein,9.5531527,47.1416307
11046,Liechtenstein,9.5531527,47.1416307
11047,Liechtenstein,9.5531527,47.1416307
11048,Liechtenstein,9.5531527,47.1416307
11049,Liechtenstein,9.5531527,47.1416307
11050,Liechtenstein,9.5531527,47.1416307
11051,Liechtenstein,9.5531527,47.1416307
11052,Liechtenstein,9.5531527,47.1416307
11053,Liechtenstein,9.5531527,47.1416307
11054,Liechtenstein,9.5531527,47.1416307
11055,Liechtenstein,9.5531527,47.1416307
11056,Liechtenstein,9.5531527,47.1416307
11057,Liechtenstein,9.5531527,47.1416307
11058,Liechtenstein,9.5531527,47.1416307
11059,Liechtenstein,9.5531527,47.1416307
11060,Liechtenstein,9.5531527,47.1416307
11061,Liechtenstein,9.5531527,47.1416307
11062,Liechtenstein,9.5531527,47.1416307
11063,Liechtenstein,9.5531527,47.1416307
11064,Liechtenstein,9.5531527,47.1416307
11065,Liechtenstein,9.5531527,47.1416307
11066,Liechtenstein,9.5531527,47.1416307
11067,Liechtenstein,9.5531527,47.1416307
11068,Liechtenstein,9.5531527,47.1416307
11069,Liechtenstein,9.5531527,47.1416307
11070,Liechtenstein,9.5531527,47.1416307
11071,Liechtenstein,9.5531527,47.1416307
11072,Liechtenstein,9.5531527,47.1416307
11073,Liechtenstein,9.5531527,47.1416307
11074,Liechtenstein,9.5531527,47.1416307
11075,Liechtenstein,9.5531527,47.1416307
11076,Liechtenstein,9.5531527,47.1416307
11077,Liechtenstein,9.5531527,47.1416307
11078,Liechtenstein,9.5531527,47.1416307
11079,Liechtenstein,9.5531527,47.1416307
11080,Liechtenstein,9.5531527,47.1416307
11081,Liechtenstein,9.5531527,47.1416307
11082,Liechtenstein,9.5531527,47.1416307
11083,Liechtenstein,9.5531527,47.1416307
11084,Liechtenstein,9.5531527,47.1416307
11085,Liechtenstein,9.5531527,47.1416307
11086,Liechtenstein,9.5531527,47.1416307
11087,Liechtenstein,9.5531527,47.1416307
11088,Liechtenstein,9.5531527,47.1416307
11089,Liechtenstein,9.5531527,47.1416307
11090,Liechtenstein,9.5531527,47.1416307
11091,Liechtenstein,9.5531527,47.1416307
11092,Lithuania,23.7499997,55.3500003
11093,Lithuania,23.7499997,55.3500003
11094,Lithuania,23.7499997,55.3500003
11095,Lithuania,23.7499997,55.3500003
11096,Lithuania,23.7499997,55.3500003
11097,Lithuania,23.7499997,55.3500003
11098,Lithuania,23.7499997,55.3500003
11099,Lithuania,23.7499997,55.3500003
11100,Lithuania,23.7499997,55.3500003
11101,Lithuania,23.7499997,55.3500003
11102,Lithuania,23.7499997,55.3500003
11103,Lithuania,23.7499997,55.3500003
11104,Lithuania,23.7499997,55.3500003
11105,Lithuania,23.7499997,55.3500003
11106,Lithuania,23.7499997,55.3500003
11107,Lithuania,23.7499997,55.3500003
11108,Lithuania,23.7499997,55.3500003
11109,Lithuania,23.7499997,55.3500003
11110,Lithuania,23.7499997,55.3500003
11111,Lithuania,23.7499997,55.3500003
11112,Lithuania,23.7499997,55.3500003
11113,Lithuania,23.7499997,55.3500003
11114,Lithuania,23.7499997,55.3500003
11115,Lithuania,23.7499997,55.3500003
11116,Lithuania,23.7499997,55.3500003
11117,Lithuania,23.7499997,55.3500003
11118,Lithuania,23.7499997,55.3500003
11119,Lithuania,23.7499997,55.3500003
11120,Lithuania,23.7499997,55.3500003
11121,Lithuania,23.7499997,55.3500003
11122,Lithuania,23.7499997,55.3500003
11123,Lithuania,23.7499997,55.3500003
11124,Lithuania,23.7499997,55.3500003
11125,Lithuania,23.7499997,55.3500003
11126,Lithuania,23.7499997,55.3500003
11127,Lithuania,23.7499997,55.3500003
11128,Lithuania,23.7499997,55.3500003
11129,Lithuania,23.7499997,55.3500003
11130,Lithuania,23.7499997,55.3500003
11131,Lithuania,23.7499997,55.3500003
11132,Lithuania,23.7499997,55.3500003
11133,Lithuania,23.7499997,55.3500003
11134,Lithuania,23.7499997,55.3500003
11135,Lithuania,23.7499997,55.3500003
11136,Lithuania,23.7499997,55.3500003
11137,Lithuania,23.7499997,55.3500003
11138,Lithuania,23.7499997,55.3500003
11139,Lithuania,23.7499997,55.3500003
11140,Lithuania,23.7499997,55.3500003
11141,Lithuania,23.7499997,55.3500003
11142,Lithuania,23.7499997,55.3500003
11143,Lithuania,23.7499997,55.3500003
11144,Lithuania,23.7499997,55.3500003
11145,Lithuania,23.7499997,55.3500003
11146,Lithuania,23.7499997,55.3500003
11147,Lithuania,23.7499997,55.3500003
11148,Lithuania,23.7499997,55.3500003
11149,Lithuania,23.7499997,55.3500003
11150,Lithuania,23.7499997,55.3500003
11151,Lithuania,23.7499997,55.3500003
11152,Lithuania,23.7499997,55.3500003
11153,Lithuania,23.7499997,55.3500003
11154,Lithuania,23.7499997,55.3500003
11155,Lithuania,23.7499997,55.3500003
11156,Lithuania,23.7499997,55.3500003
11157,Lithuania,23.7499997,55.3500003
11158,Lithuania,23.7499997,55.3500003
11159,Lithuania,23.7499997,55.3500003
11160,Lithuania,23.7499997,55.3500003
11161,Lithuania,23.7499997,55.3500003
11162,Lithuania,23.7499997,55.3500003
11163,Lithuania,23.7499997,55.3500003
11164,Lithuania,23.7499997,55.3500003
11165,Lithuania,23.7499997,55.3500003
11166,Lithuania,23.7499997,55.3500003
11167,Lithuania,23.7499997,55.3500003
11168,Lithuania,23.7499997,55.3500003
11169,Lithuania,23.7499997,55.3500003
11170,Lithuania,23.7499997,55.3500003
11171,Lithuania,23.7499997,55.3500003
11172,Lithuania,23.7499997,55.3500003
11173,Lithuania,23.7499997,55.3500003
11174,Lithuania,23.7499997,55.3500003
11175,Lithuania,23.7499997,55.3500003
11176,Lithuania,23.7499997,55.3500003
11177,Lithuania,23.7499997,55.3500003
11178,Lithuania,23.7499997,55.3500003
11179,Lithuania,23.7499997,55.3500003
11180,Lithuania,23.7499997,55.3500003
11181,Lithuania,23.7499997,55.3500003
11182,Lithuania,23.7499997,55.3500003
11183,Lithuania,23.7499997,55.3500003
11184,Lithuania,23.7499997,55.3500003
11185,Lithuania,23.7499997,55.3500003
11186,Lithuania,23.7499997,55.3500003
11187,Lithuania,23.7499997,55.3500003
11188,Lithuania,23.7499997,55.3500003
11189,Lithuania,23.7499997,55.3500003
11190,Lithuania,23.7499997,55.3500003
11191,Lithuania,23.7499997,55.3500003
11192,Lithuania,23.7499997,55.3500003
11193,Lithuania,23.7499997,55.3500003
11194,Lithuania,23.7499997,55.3500003
11195,Lithuania,23.7499997,55.3500003
11196,Lithuania,23.7499997,55.3500003
11197,Lithuania,23.7499997,55.3500003
11198,Lithuania,23.7499997,55.3500003
11199,Lithuania,23.7499997,55.3500003
11200,Lithuania,23.7499997,55.3500003
11201,Lithuania,23.7499997,55.3500003
11202,Lithuania,23.7499997,55.3500003
11203,Lithuania,23.7499997,55.3500003
11204,Lithuania,23.7499997,55.3500003
11205,Lithuania,23.7499997,55.3500003
11206,Lithuania,23.7499997,55.3500003
11207,Lithuania,23.7499997,55.3500003
11208,Lithuania,23.7499997,55.3500003
11209,Lithuania,23.7499997,55.3500003
11210,Lithuania,23.7499997,55.3500003
11211,Lithuania,23.7499997,55.3500003
11212,Lithuania,23.7499997,55.3500003
11213,Lithuania,23.7499997,55.3500003
11214,Lithuania,23.7499997,55.3500003
11215,Lithuania,23.7499997,55.3500003
11216,Lithuania,23.7499997,55.3500003
11217,Lithuania,23.7499997,55.3500003
11218,Lithuania,23.7499997,55.3500003
11219,Lithuania,23.7499997,55.3500003
11220,Lithuania,23.7499997,55.3500003
11221,Lithuania,23.7499997,55.3500003
11222,Lithuania,23.7499997,55.3500003
11223,Lithuania,23.7499997,55.3500003
11224,Lithuania,23.7499997,55.3500003
11225,Lithuania,23.7499997,55.3500003
11226,Lithuania,23.7499997,55.3500003
11227,Lithuania,23.7499997,55.3500003
11228,Lithuania,23.7499997,55.3500003
11229,Lithuania,23.7499997,55.3500003
11230,Lithuania,23.7499997,55.3500003
